elapsed_seconds,distance_bin_lower_bps,distance_bin_upper_bps,up_count,sample_count,p_up_smoothed
120,-22.0,-21.0,21,231,0.12350597609561753
120,-21.0,-20.0,21,236,0.12109375
120,-20.0,-19.0,25,310,0.10606060606060606
120,-19.0,-18.0,21,312,0.09337349397590361
120,-18.0,-17.0,40,420,0.11363636363636363
120,-17.0,-16.0,59,482,0.13745019920318724
120,-16.0,-15.0,49,534,0.10649819494584838
120,-15.0,-14.0,68,614,0.12302839116719243
120,-14.0,-13.0,85,730,0.12666666666666668
120,-13.0,-12.0,110,884,0.13274336283185842
120,-12.0,-11.0,120,1062,0.12014787430683918
120,-11.0,-10.0,182,1306,0.14479638009049775
120,-10.0,-9.0,254,1714,0.1522491349480969
120,-9.0,-8.0,327,1918,0.173890608875129
120,-8.0,-7.0,442,2472,0.18138041733547353
120,-7.0,-6.0,605,3032,0.20150720838794234
120,-6.0,-5.0,730,3541,0.20780679584386408
120,-5.0,-4.0,1036,4340,0.23990825688073394
120,-4.0,-3.0,1504,5241,0.28777798897547996
120,-3.0,-2.0,1934,6088,0.3182711198428291
120,-2.0,-1.0,2548,6998,0.36449130806497576
120,-1.0,0.0,3551,8102,0.43843880817532627
120,0.0,1.0,5228,9162,0.5704639512088869
120,1.0,2.0,4390,6908,0.6351039260969977
120,2.0,3.0,4192,6044,0.6929419525065963
120,3.0,4.0,3840,5230,0.7333333333333333
120,4.0,5.0,3158,4189,0.7526728439059159
120,5.0,6.0,2796,3537,0.7888670227719988
120,6.0,7.0,2331,2891,0.8041909996564754
120,7.0,8.0,1905,2326,0.8162830349531117
120,8.0,9.0,1750,2046,0.8518877057115198
120,9.0,10.0,1345,1614,0.8292533659730722
120,10.0,11.0,1126,1297,0.8625664388762339
120,11.0,12.0,936,1079,0.8607825295723385
120,12.0,13.0,780,901,0.8577633007600435
120,13.0,14.0,675,768,0.8692893401015228
120,14.0,15.0,501,575,0.8588235294117647
120,15.0,16.0,454,504,0.8854961832061069
120,16.0,17.0,388,425,0.8943820224719101
120,17.0,18.0,331,368,0.8788659793814433
120,18.0,19.0,287,318,0.878698224852071
120,19.0,20.0,266,290,0.8903225806451613
120,20.0,21.0,220,250,0.8518518518518519
120,21.0,22.0,192,211,0.8744588744588745
120,22.0,23.0,160,175,0.8717948717948718
120,23.0,24.0,138,157,0.8361581920903954
120,24.0,25.0,132,144,0.8658536585365854
120,25.0,26.0,102,109,0.8682170542635659
120,26.0,27.0,99,105,0.872
120,27.0,28.0,100,109,0.8527131782945736
120,28.0,29.0,63,67,0.8390804597701149
120,29.0,30.0,69,75,0.8315789473684211
120,30.0,31.0,56,57,0.8571428571428571
120,31.0,32.0,55,57,0.8441558441558441
120,32.0,33.0,44,48,0.7941176470588235
120,33.0,34.0,46,49,0.8115942028985508
120,34.0,35.0,36,39,0.7796610169491526
120,35.0,36.0,50,50,0.8571428571428571
120,36.0,37.0,42,42,0.8387096774193549
120,37.0,38.0,28,30,0.76
120,38.0,39.0,20,21,0.7317073170731707
120,39.0,40.0,29,30,0.78
120,40.0,41.0,33,38,0.7413793103448276
120,41.0,42.0,13,14,0.6764705882352942
120,42.0,43.0,18,18,0.7368421052631579
120,43.0,44.0,15,15,0.7142857142857143
120,44.0,45.0,14,14,0.7058823529411765
120,45.0,46.0,20,22,0.7142857142857143
120,46.0,47.0,6,6,0.6153846153846154
120,47.0,48.0,15,15,0.7142857142857143
120,48.0,49.0,12,12,0.6875
120,49.0,50.0,6,7,0.5925925925925926
120,50.0,51.0,7,8,0.6071428571428571
120,51.0,52.0,15,16,0.6944444444444444
120,52.0,53.0,8,9,0.6206896551724138
120,53.0,54.0,6,6,0.6153846153846154
120,54.0,55.0,8,9,0.6206896551724138
120,55.0,56.0,5,5,0.6
120,56.0,57.0,3,3,0.5652173913043478
120,57.0,58.0,4,4,0.5833333333333334
120,58.0,59.0,3,3,0.5652173913043478
120,59.0,60.0,7,7,0.6296296296296297
120,60.0,61.0,2,2,0.5454545454545454
120,61.0,62.0,2,2,0.5454545454545454
120,62.0,63.0,3,3,0.5652173913043478
120,64.0,65.0,4,4,0.5833333333333334
120,65.0,66.0,5,5,0.6
120,66.0,67.0,6,6,0.6153846153846154
120,67.0,68.0,2,2,0.5454545454545454
120,68.0,69.0,5,5,0.6
120,69.0,70.0,1,1,0.5238095238095238
120,70.0,71.0,2,2,0.5454545454545454
120,71.0,72.0,5,5,0.6
120,72.0,73.0,2,2,0.5454545454545454
120,73.0,74.0,1,1,0.5238095238095238
120,74.0,75.0,2,2,0.5454545454545454
120,75.0,76.0,3,3,0.5652173913043478
120,76.0,77.0,2,2,0.5454545454545454
120,77.0,78.0,2,2,0.5454545454545454
120,78.0,79.0,3,3,0.5652173913043478
120,79.0,80.0,2,2,0.5454545454545454
120,80.0,81.0,3,3,0.5652173913043478
120,81.0,82.0,2,2,0.5454545454545454
120,82.0,83.0,1,1,0.5238095238095238
120,83.0,84.0,2,2,0.5454545454545454
120,85.0,86.0,1,2,0.5
120,86.0,87.0,1,1,0.5238095238095238
120,89.0,90.0,2,2,0.5454545454545454
120,90.0,91.0,1,1,0.5238095238095238
120,91.0,92.0,1,1,0.5238095238095238
120,92.0,93.0,1,1,0.5238095238095238
120,96.0,97.0,1,1,0.5238095238095238
120,97.0,98.0,2,2,0.5454545454545454
120,99.0,100.0,1,1,0.5238095238095238
120,104.0,105.0,1,1,0.5238095238095238
120,105.0,106.0,1,1,0.5238095238095238
